frame.time_epoch,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.len,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.flags.ece,tcp.window_size_value,tcp.hdr_len
1766195326.451212462,6,10.1.0.19,10.1.0.9,59394,3000,68,0,False,False,False,False,True,False,False,False,899,32
1766195326.497037818,6,10.1.0.19,10.1.0.9,59404,3000,439,371,False,False,False,True,True,False,False,False,899,32
1766195326.527683093,6,10.1.0.9,10.1.0.19,3000,59404,581,513,False,False,False,True,True,False,False,False,501,32
1766195326.527824100,6,10.1.0.19,10.1.0.9,59404,3000,68,0,False,False,False,False,True,False,False,False,899,32
1766195326.529893493,6,10.1.0.9,10.1.0.19,3000,59404,7308,7240,False,False,False,True,True,False,False,False,501,32
1766195326.529969096,6,10.1.0.19,10.1.0.9,59404,3000,68,0,False,False,False,False,True,False,False,False,849,32
1766195326.529976196,6,10.1.0.9,10.1.0.19,3000,59404,1833,1765,False,False,False,True,True,False,False,False,501,32
1766195326.529992797,6,10.1.0.19,10.1.0.9,59404,3000,68,0,False,False,False,False,True,False,False,False,836,32
1766195326.530064600,6,10.1.0.9,10.1.0.19,3000,59404,73,5,False,False,False,True,True,False,False,False,501,32
1766195326.530088301,6,10.1.0.19,10.1.0.9,59404,3000,68,0,False,False,False,False,True,False,False,False,836,32
1766195326.535595348,6,10.1.0.19,10.1.0.9,59352,3000,453,385,False,False,False,True,True,False,False,False,828,32
1766195326.535626550,6,10.1.0.9,10.1.0.19,3000,59352,68,0,False,False,False,False,True,False,False,False,501,32
1766195326.540730079,6,10.1.0.19,10.1.0.9,59378,3000,408,340,False,False,False,True,True,False,False,False,897,32
1766195326.562679464,6,10.1.0.9,10.1.0.19,3000,59352,581,513,False,False,False,True,True,False,False,False,501,32
1766195326.562859372,6,10.1.0.19,10.1.0.9,59352,3000,68,0,False,False,False,False,True,False,False,False,828,32
1766195326.565312482,6,10.1.0.9,10.1.0.19,3000,59378,581,513,False,False,False,True,True,False,False,False,501,32
1766195326.565428487,6,10.1.0.19,10.1.0.9,59378,3000,68,0,False,False,False,False,True,False,False,False,899,32
1766195326.566407131,6,10.1.0.9,10.1.0.19,3000,59378,7308,7240,False,False,False,True,True,False,False,False,501,32
1766195326.566541337,6,10.1.0.19,10.1.0.9,59378,3000,68,0,False,False,False,False,True,False,False,False,852,32
1766195326.566566838,6,10.1.0.9,10.1.0.19,3000,59378,1833,1765,False,False,False,True,True,False,False,False,501,32
1766195326.566624441,6,10.1.0.19,10.1.0.9,59378,3000,68,0,False,False,False,False,True,False,False,False,890,32
