frame.time_epoch,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.len,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.flags.ece,tcp.window_size_value,tcp.hdr_len
1766194204.388263349,6,10.1.0.8,10.1.0.10,47036,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194204.388325152,6,10.1.0.8,10.1.0.10,47036,3000,68,0,True,False,False,False,True,False,False,False,502,32
1766194204.388841577,6,10.1.0.10,10.1.0.8,3000,47036,68,0,False,False,False,False,True,False,False,False,510,32
1766194204.389803923,6,10.1.0.10,10.1.0.8,3000,47036,68,0,True,False,False,False,True,False,False,False,510,32
1766194204.389836124,6,10.1.0.8,10.1.0.10,47036,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194204.391792318,6,10.1.0.8,10.1.0.10,47052,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194204.391804918,6,10.1.0.10,10.1.0.8,3000,47052,76,0,False,True,False,False,True,False,False,False,65160,40
1766194204.391823119,6,10.1.0.8,10.1.0.10,47052,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194204.391890622,6,10.1.0.8,10.1.0.10,47052,3000,286,218,False,False,False,True,True,False,False,False,502,32
1766194204.391894323,6,10.1.0.10,10.1.0.8,3000,47052,68,0,False,False,False,False,True,False,False,False,508,32
1766194204.391912423,6,10.1.0.8,10.1.0.10,47052,3000,122,54,False,False,False,True,True,False,False,False,502,32
1766194204.391914224,6,10.1.0.10,10.1.0.8,3000,47052,68,0,False,False,False,False,True,False,False,False,508,32
1766194204.436794067,6,10.1.0.10,10.1.0.8,3000,47052,1253,1185,False,False,False,True,True,False,False,False,508,32
1766194204.436916873,6,10.1.0.8,10.1.0.10,47052,3000,68,0,False,False,False,False,True,False,False,False,525,32
1766194204.940124110,6,10.1.0.8,10.1.0.10,47060,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194204.940145512,6,10.1.0.10,10.1.0.8,3000,47060,76,0,False,True,False,False,True,False,False,False,65160,40
1766194204.940180713,6,10.1.0.8,10.1.0.10,47060,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194204.940268317,6,10.1.0.8,10.1.0.10,47060,3000,286,218,False,False,False,True,True,False,False,False,502,32
1766194204.940277018,6,10.1.0.10,10.1.0.8,3000,47060,68,0,False,False,False,False,True,False,False,False,508,32
1766194204.940312419,6,10.1.0.8,10.1.0.10,47060,3000,122,54,False,False,False,True,True,False,False,False,502,32
1766194204.940315720,6,10.1.0.10,10.1.0.8,3000,47060,68,0,False,False,False,False,True,False,False,False,508,32
1766194204.992789726,6,10.1.0.10,10.1.0.8,3000,47060,481,413,False,False,False,True,True,False,False,False,508,32
1766194204.992936333,6,10.1.0.8,10.1.0.10,47060,3000,68,0,False,False,False,False,True,False,False,False,501,32
1766194204.993896179,6,10.1.0.8,10.1.0.10,47052,3000,68,0,True,False,False,False,True,False,False,False,525,32
1766194204.995846572,6,10.1.0.10,10.1.0.8,3000,47052,68,0,True,False,False,False,True,False,False,False,508,32
1766194204.995925676,6,10.1.0.8,10.1.0.10,47052,3000,68,0,False,False,False,False,True,False,False,False,525,32
1766194205.495791554,6,10.1.0.8,10.1.0.10,47070,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194205.495804554,6,10.1.0.10,10.1.0.8,3000,47070,76,0,False,True,False,False,True,False,False,False,65160,40
1766194205.495820455,6,10.1.0.8,10.1.0.10,47070,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194205.495876158,6,10.1.0.8,10.1.0.10,47070,3000,286,218,False,False,False,True,True,False,False,False,502,32
1766194205.495879658,6,10.1.0.10,10.1.0.8,3000,47070,68,0,False,False,False,False,True,False,False,False,508,32
1766194205.495895459,6,10.1.0.8,10.1.0.10,47070,3000,121,53,False,False,False,True,True,False,False,False,502,32
1766194205.495897159,6,10.1.0.10,10.1.0.8,3000,47070,68,0,False,False,False,False,True,False,False,False,508,32
1766194205.506254253,6,10.1.0.10,10.1.0.8,3000,47070,481,413,False,False,False,True,True,False,False,False,508,32
1766194205.506316956,6,10.1.0.8,10.1.0.10,47070,3000,68,0,False,False,False,False,True,False,False,False,501,32
1766194205.506749477,6,10.1.0.8,10.1.0.10,47060,3000,68,0,True,False,False,False,True,False,False,False,501,32
1766194205.506896384,6,10.1.0.10,10.1.0.8,3000,47060,68,0,True,False,False,False,True,False,False,False,508,32
1766194205.506924285,6,10.1.0.8,10.1.0.10,47060,3000,68,0,False,False,False,False,True,False,False,False,501,32
1766194206.008252633,6,10.1.0.8,10.1.0.10,47080,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194206.008263033,6,10.1.0.10,10.1.0.8,3000,47080,76,0,False,True,False,False,True,False,False,False,65160,40
1766194206.008278934,6,10.1.0.8,10.1.0.10,47080,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194206.008343637,6,10.1.0.8,10.1.0.10,47080,3000,286,218,False,False,False,True,True,False,False,False,502,32
1766194206.008348038,6,10.1.0.10,10.1.0.8,3000,47080,68,0,False,False,False,False,True,False,False,False,508,32
1766194206.008375439,6,10.1.0.8,10.1.0.10,47080,3000,120,52,False,False,False,True,True,False,False,False,502,32
1766194206.008378139,6,10.1.0.10,10.1.0.8,3000,47080,68,0,False,False,False,False,True,False,False,False,508,32
1766194206.031593748,6,10.1.0.10,10.1.0.8,3000,47080,1246,1178,False,False,False,True,True,False,False,False,508,32
1766194206.031699253,6,10.1.0.8,10.1.0.10,47080,3000,68,0,False,False,False,False,True,False,False,False,525,32
1766194206.032336583,6,10.1.0.8,10.1.0.10,47070,3000,68,0,True,False,False,False,True,False,False,False,501,32
1766194206.032609396,6,10.1.0.10,10.1.0.8,3000,47070,68,0,True,False,False,False,True,False,False,False,508,32
1766194206.032651198,6,10.1.0.8,10.1.0.10,47070,3000,68,0,False,False,False,False,True,False,False,False,501,32
1766194206.533895842,6,10.1.0.8,10.1.0.10,47086,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194206.533907943,6,10.1.0.10,10.1.0.8,3000,47086,76,0,False,True,False,False,True,False,False,False,65160,40
1766194206.533923643,6,10.1.0.8,10.1.0.10,47086,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194206.533976346,6,10.1.0.8,10.1.0.10,47086,3000,286,218,False,False,False,True,True,False,False,False,502,32
1766194206.533979746,6,10.1.0.10,10.1.0.8,3000,47086,68,0,False,False,False,False,True,False,False,False,508,32
1766194206.533995247,6,10.1.0.8,10.1.0.10,47086,3000,129,61,False,False,False,True,True,False,False,False,502,32
1766194206.533996847,6,10.1.0.10,10.1.0.8,3000,47086,68,0,False,False,False,False,True,False,False,False,508,32
1766194206.544063528,6,10.1.0.10,10.1.0.8,3000,47086,481,413,False,False,False,True,True,False,False,False,508,32
1766194206.544132331,6,10.1.0.8,10.1.0.10,47086,3000,68,0,False,False,False,False,True,False,False,False,501,32
1766194206.544577852,6,10.1.0.8,10.1.0.10,47080,3000,68,0,True,False,False,False,True,False,False,False,525,32
1766194206.544773362,6,10.1.0.10,10.1.0.8,3000,47080,68,0,True,False,False,False,True,False,False,False,508,32
1766194206.544801163,6,10.1.0.8,10.1.0.10,47080,3000,68,0,False,False,False,False,True,False,False,False,525,32
1766194207.046159312,6,10.1.0.8,10.1.0.10,35944,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194207.046170712,6,10.1.0.10,10.1.0.8,3000,35944,76,0,False,True,False,False,True,False,False,False,65160,40
1766194207.046188213,6,10.1.0.8,10.1.0.10,35944,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194207.046244216,6,10.1.0.8,10.1.0.10,35944,3000,286,218,False,False,False,True,True,False,False,False,502,32
1766194207.046247816,6,10.1.0.10,10.1.0.8,3000,35944,68,0,False,False,False,False,True,False,False,False,508,32
1766194207.046263617,6,10.1.0.8,10.1.0.10,35944,3000,118,50,False,False,False,True,True,False,False,False,502,32
1766194207.046265217,6,10.1.0.10,10.1.0.8,3000,35944,68,0,False,False,False,False,True,False,False,False,508,32
1766194207.057876472,6,10.1.0.10,10.1.0.8,3000,35944,481,413,False,False,False,True,True,False,False,False,508,32
