frame.time_epoch,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.len,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.flags.ece,tcp.window_size_value,tcp.hdr_len
1766194196.259548189,6,10.1.0.7,10.1.0.6,3000,36194,56,0,False,False,True,False,True,False,False,False,0,20
1766194198.262518172,6,10.1.0.6,10.1.0.7,36148,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194198.262524972,6,10.1.0.7,10.1.0.6,3000,36148,56,0,False,False,True,False,True,False,False,False,0,20
1766194200.263486022,6,10.1.0.6,10.1.0.7,36158,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194200.263493322,6,10.1.0.7,10.1.0.6,3000,36158,56,0,False,False,True,False,True,False,False,False,0,20
1766194202.266154550,6,10.1.0.6,10.1.0.7,36160,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194202.266161450,6,10.1.0.7,10.1.0.6,3000,36160,56,0,False,False,True,False,True,False,False,False,0,20
1766194204.266529018,6,10.1.0.6,10.1.0.7,36174,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194204.266544319,6,10.1.0.7,10.1.0.6,3000,36174,76,0,False,True,False,False,True,False,False,False,65160,40
1766194204.266559519,6,10.1.0.6,10.1.0.7,36174,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194204.266629122,6,10.1.0.6,10.1.0.7,36174,3000,68,0,True,False,False,False,True,False,False,False,502,32
1766194204.268734419,6,10.1.0.7,10.1.0.6,3000,36174,68,0,True,False,False,False,True,False,False,False,510,32
1766194204.268802022,6,10.1.0.6,10.1.0.7,36174,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194204.270511701,6,10.1.0.6,10.1.0.7,36180,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194204.270526702,6,10.1.0.7,10.1.0.6,3000,36180,76,0,False,True,False,False,True,False,False,False,65160,40
1766194204.270548703,6,10.1.0.6,10.1.0.7,36180,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194204.270627306,6,10.1.0.6,10.1.0.7,36180,3000,285,217,False,False,False,True,True,False,False,False,502,32
1766194204.270633707,6,10.1.0.7,10.1.0.6,3000,36180,68,0,False,False,False,False,True,False,False,False,508,32
1766194204.305050490,6,10.1.0.7,10.1.0.6,3000,36180,1416,1348,False,False,False,True,True,False,False,False,508,32
1766194204.305117993,6,10.1.0.6,10.1.0.7,36180,3000,68,0,False,False,False,False,True,False,False,False,525,32
1766194210.306594657,6,10.1.0.7,10.1.0.6,3000,36180,68,0,True,False,False,False,True,False,False,False,508,32
1766194210.348893277,6,10.1.0.6,10.1.0.7,36180,3000,68,0,False,False,False,False,True,False,False,False,525,32
1766194264.688243215,6,10.1.0.6,10.1.0.7,36180,3000,68,0,True,False,False,False,True,False,False,False,525,32
1766194264.688254416,6,10.1.0.7,10.1.0.6,3000,36180,68,0,False,False,False,False,True,False,False,False,508,32
1766194268.497500150,6,10.111.111.146,10.1.0.6,4444,39156,56,0,False,False,True,False,True,False,False,False,0,20
1766194271.000975865,6,10.111.111.146,10.1.0.6,4444,39158,56,0,False,False,True,False,True,False,False,False,0,20
1766194273.714325392,6,10.111.111.146,10.1.0.6,4444,39174,56,0,False,False,True,False,True,False,False,False,0,20
1766194276.280932848,6,10.111.111.146,10.1.0.6,4444,39188,56,0,False,False,True,False,True,False,False,False,0,20
1766194279.772483799,6,10.111.111.146,10.1.0.6,4444,57976,56,0,False,False,True,False,True,False,False,False,0,20
1766194339.945986863,6,10.1.0.14,10.1.0.7,38618,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194339.946054167,6,10.1.0.7,10.1.0.14,3000,38618,76,0,False,True,False,False,True,False,False,False,65160,40
1766194339.946079468,6,10.1.0.14,10.1.0.7,38618,3000,68,0,False,False,False,False,True,False,False,False,502,32
