Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
3000,6,20/12/2025 01:30:04,2272.8443145751953,4,2,280,144,76,68,70.0,4.0,76,68,72.0,5.656854249492381,186550.39295080246,2639.8640511906015,454.56886291503906,923.1358887351438,2105.236053466797,15.2587890625,2272.8443145751953,757.6147715250651,1225.6630591327294,2172.708511352539,30.517578125,2190.113067626953,2190.113067626953,0.0,2190.113067626953,2190.113067626953,0,0,0,0,136,72,1759.9093674604007,879.9546837302004,68,76,70.66666666666667,4.1311822359545785,17.06666666666667,2,2,0,0,5,0,0,0,0.5,70.66666666666667,70.0,72.0,0,0,0,0,0,0,4,280,2,144,64240,65160,0,68,2272.8443145751953,0,2272.8443145751953,2272.8443145751953,0,0,0,0
3000,6,20/12/2025 01:29:52,72433127.64167786,7,6,709,1752,285,68,101.28571428571429,81.09811811567988,1416,56,292.0,550.6824856484906,33.976166432773866,0.1794758893238766,6036093.970139821,15655210.52666477,54339349.98512268,6.4373016357421875,72433116.43600464,12072186.07266744,21256701.431897547,54339349.98512268,37.19329833984375,72433120.2507019,14486624.05014038,22849742.429138776,54381659.746170044,106.8115234375,1,1,0,0,240,188,0.09664086348208739,0.08283502584178919,56,1416,189.30769230769232,373.41071771249966,139435.5641025641,2,3,1,2,11,0,0,0,0.8571428571428571,189.30769230769232,101.28571428571429,292.0,0,0,0,0,0,0,7,709,6,1752,64240,0,1,68,72433127.64167786,0,72433127.64167786,72433127.64167786,0,0,0,0
3000,6,20/12/2025 01:29:54,6.4373016357421875,1,1,76,56,76,76,76.0,0.0,56,56,56.0,0.0,20505486.22222222,310689.18518518517,6.4373016357421875,0.0,6.4373016357421875,6.4373016357421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,155344.59259259258,155344.59259259258,56,76,66.0,14.142135623730951,200.0,0,1,1,0,1,0,0,0,1.0,66.0,76.0,56.0,0,0,0,0,0,0,1,76,1,56,64240,0,0,76,6.4373016357421875,0,6.4373016357421875,6.4373016357421875,0,0,0,0
3000,6,20/12/2025 01:29:56,9.775161743164062,1,1,76,56,76,76,76.0,0.0,56,56,56.0,0.0,13503612.878048781,204600.1951219512,9.775161743164062,0.0,9.775161743164062,9.775161743164062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,102300.0975609756,102300.0975609756,56,76,66.0,14.142135623730951,200.0,0,1,1,0,1,0,0,0,1.0,66.0,76.0,56.0,0,0,0,0,0,0,1,76,1,56,64240,0,0,76,9.775161743164062,0,9.775161743164062,9.775161743164062,0,0,0,0
3000,6,20/12/2025 01:29:40,12.874603271484375,1,1,76,56,76,76,76.0,0.0,56,56,56.0,0.0,10252743.11111111,155344.59259259258,12.874603271484375,0.0,12.874603271484375,12.874603271484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,77672.29629629629,77672.29629629629,56,76,66.0,14.142135623730951,200.0,0,1,1,0,1,0,0,0,1.0,66.0,76.0,56.0,0,0,0,0,0,0,1,76,1,56,64240,0,0,76,12.874603271484375,0,12.874603271484375,12.874603271484375,0,0,0,0
3000,6,20/12/2025 01:29:42,11.920928955078125,1,1,76,56,76,76,76.0,0.0,56,56,56.0,0.0,11072962.56,167772.16,11.920928955078125,0.0,11.920928955078125,11.920928955078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,83886.08,83886.08,56,76,66.0,14.142135623730951,200.0,0,1,1,0,1,0,0,0,1.0,66.0,76.0,56.0,0,0,0,0,0,0,1,76,1,56,64240,0,0,76,11.920928955078125,0,11.920928955078125,11.920928955078125,0,0,0,0
3000,6,20/12/2025 01:29:44,6.67572021484375,1,1,76,56,76,76,76.0,0.0,56,56,56.0,0.0,19773147.428571425,299593.14285714284,6.67572021484375,0.0,6.67572021484375,6.67572021484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,149796.57142857142,149796.57142857142,56,76,66.0,14.142135623730951,200.0,0,1,1,0,1,0,0,0,1.0,66.0,76.0,56.0,0,0,0,0,0,0,1,76,1,56,64240,0,0,76,6.67572021484375,0,6.67572021484375,6.67572021484375,0,0,0,0
3000,6,20/12/2025 01:29:46,7.3909759521484375,1,1,76,56,76,76,76.0,0.0,56,56,56.0,0.0,17859617.032258064,270600.2580645162,7.3909759521484375,0.0,7.3909759521484375,7.3909759521484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,135300.1290322581,135300.1290322581,56,76,66.0,14.142135623730951,200.0,0,1,1,0,1,0,0,0,1.0,66.0,76.0,56.0,0,0,0,0,0,0,1,76,1,56,64240,0,0,76,7.3909759521484375,0,7.3909759521484375,7.3909759521484375,0,0,0,0
39156,6,20/12/2025 01:31:08,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0
39158,6,20/12/2025 01:31:11,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0
39174,6,20/12/2025 01:31:13,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0
39188,6,20/12/2025 01:31:16,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0
57976,6,20/12/2025 01:31:19,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0
